STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10408,0,1,1,1,1,0,0,2.25,1,2,1,NA,NA,NA,NA,0,0,4,1
10409,0,1,0,3,NA,0,1,1.75,3,NA,NA,NA,NA,NA,NA,1,1,4,3
10410,1,1,0,1,2,0,0,4,1,2,2,2,4,2,3,1,0,5,1.5
10411,1,5,0,3,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,0,1,5,3.5
10412,0,3,1,1,NA,0,0,1.75,3,NA,NA,NA,NA,NA,NA,0,1,4,2
10414,1,1,1,1,NA,0,0,2,0,2,2,2,2,1,3,0,1,3.5,3
10415,1,1,1,1,NA,0,0,1,3,NA,NA,NA,NA,NA,NA,1,1,6,2
10417,0,1,0,1,NA,0,0,1,3,NA,NA,NA,NA,NA,NA,1,1,4.5,3.5
10419,1,1,0,2,NA,0,1,1,1,2,2,4,3,3,3,1,1,3,3
10424,0,1,0,1,NA,0,0,2,0,3,2,3,3,3,3,1,0,0.5,0.25
10425,0,1,1,1,NA,0,0,1,0,3,1,3,4,3,4,0,0,4.5,4
10429,1,3,1,1,NA,0,0,1.75,3,NA,NA,NA,NA,NA,NA,0,1,4,2.5
10430,1,1,0,2,2,0,0,2,1,2,1,3,4,2,4,1,1,4,3
10433,1,1,0,2,NA,0,0,3,1,3,1,NA,NA,NA,NA,1,0,4,3
10434,1,5,0,2,NA,0,1,2,1,3,1,NA,NA,NA,NA,1,0,3,3
10436,1,1,0,2,NA,0,0,2.75,0,2,1,2,3,2,4,0,1,5,1.5
10437,0,1,0,3,3,0,0,2,0,3,1,4,4,3,4,0,1,4,3
10441,0,5,0,2,NA,0,0,1,0,2,1,3,3,3,3,0,0,4,2.5
10442,1,1,1,1,1,0,0,2.25,1,2,2,NA,NA,NA,NA,1,1,4,1.5
10443,1,3,0,2,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5
10444,0,1,1,1,NA,0,0,2.5,1,3,2,2,3,3,4,0,0,1.5,4
10445,1,1,0,1,2,0,0,1,1,3,NA,NA,NA,NA,NA,0,0,3,3.5
10447,0,5,1,1,NA,0,0,2.5,1,2,1,4,3,3,3,NA,NA,5,3.5
10450,0,5,1,1,1,0,0,2,1,3,1,3,4,3,3,1,0,3.5,3.5
10451,1,1,1,1,1,0,0,1.75,0,2,1,4,4,4,4,0,0,4,2.5
10452,0,1,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,1,0,5,2.5
10456,0,5,1,1,1,0,0,1.25,0,2,2,4,4,3,2,0,0,5,3.5
10457,1,1,0,2,2,0,0,2,0,3,1,4,4,3,4,1,1,4.5,3.5
10458,1,5,0,1,2,0,1,2.5,0,3,1,4,4,3,4,0,0,4,4
10459,0,3,0,2,NA,0,0,4,1,3,2,3,4,2,4,0,0,3,1
10460,1,1,1,1,NA,0,0,2.75,3,NA,NA,NA,NA,NA,NA,1,1,3,2.5
10464,1,1,0,2,NA,0,0,2,1,3,1,3,4,4,4,1,1,3.5,2.5
10465,0,1,0,2,NA,0,0,2,1,3,2,3,4,4,3,0,0,2.5,1.5
10466,1,1,1,1,NA,0,0,2,1,3,2,NA,NA,NA,NA,0,1,2,1
10467,0,1,0,2,NA,1,0,2.75,3,NA,NA,NA,NA,NA,NA,0,0,4,1.5
10472,1,1,0,1,NA,0,0,3.5,1,3,1,NA,NA,NA,NA,1,0,3,1.5
10474,1,1,1,1,1,0,0,1.5,0,3,1,4,4,3,3,0,1,3.5,1.5
10475,0,1,0,2,2,0,0,2,1,2,2,4,4,4,2,1,1,4,2
10476,0,1,1,1,NA,0,0,2,0,2,2,NA,NA,NA,NA,0,0,5,2.5
10478,1,3,1,1,NA,0,0,3,0,2,NA,NA,NA,NA,NA,0,1,4.5,1.5
10480,1,3,1,1,NA,0,0,2.5,3,NA,NA,NA,NA,NA,NA,1,0,0,0.25
10481,1,5,0,2,NA,0,0,1.75,1,3,1,NA,NA,NA,NA,0,0,4,3
10483,1,1,0,3,NA,0,0,1.75,1,3,1,4,4,3,2,0,0,3.5,3.5
10484,0,1,1,1,NA,0,0,2.75,3,NA,NA,NA,NA,NA,NA,0,0,3,1.5
10486,1,1,0,2,NA,0,0,2,1,2,2,NA,NA,NA,NA,NA,NA,3.5,2.5
10492,1,1,1,1,NA,0,1,3,3,NA,NA,NA,NA,NA,NA,0,1,3,2.5
10494,0,1,0,2,3,1,0,1.75,0,3,1,3,3,3,3,1,1,4,3.5
